,0
317,น้ำจิ้มปอเปี๊ยะญวน
318,น้ำดอกมะลิ
319,ขนมปัง
320,พริกแกงใต้
321,ไวน์แดง
322,ตีนไก่
323,เนย
324,ตะไคร้สับ
325,หางกะทิ
326,ฟองเต้าหู้
327,ปากเป็ด
328,ผักบุ้งไทย
329,นมถั่วเหลือง
330,นมสด
331,มะเชือเทศ
332,ผงยี่หร่า
333,กานพลู
334,น้ำพริกแกง  
335,ปลาร้าสับ
336,ถ้วยแป้งสาลี
337,ปลาแซลมอน
338,เส้นมะละกอ
339,น้ำจิ้มอาจาด
340,น้ำตาล  
341,น้ำมันพืชสำหรับทอดปลา
342,ซอสถั่วเหลือง
343,ผงกาปิก้า
344,ซีอิ๊วเกาหลี
345,ไส้ดิบ
346,ส้ม
347,ต้นหอมญี่ปุ่น
348,ไก่บ้าน
349,เนื้อปลากด
350,กะหล่ำปลี
351,น้ำปลา
352,ใบกระเทียม
353,ก๋วยเตี๋ยวเส้นใหญ่
354,หอมแดง
355,ไส้กรอก
356,ผักติ้ว
357,มะม่วงน้ำดอกไม้สุก
358,มะเขือม่วง
359,ใบบัวบก
360,เนื้อแอบเปิล
361,กะเทียมสด
362,เกสรดอกชมพู่
363,ซีอิ้วขาว
364,ดอกอัญชัน
365,ยอดผักชะอม
366,ผงรสดี
367,หมูสามชั้นแผ่นใหญ่
368,พริกแกงพะแนง
369,แตงกวา
370,เม็ดตั้งฉ่าย
371,ตับหมูสดเป็นชิ้น
372,หอยแมลงภู่
373,น้ำแข็งป่น
374,ยอดผักคะน้า      
375,น้ำมันสำหรับทอดไข่
376,ซอนน้ำมันหอย
377,ไข่ต้ม
378,เต้าเจี้ยว
379,ปลาหมึก
380,ไข่เป็ด  
381,น้ำร้อน
382,ผลสับปะรดสุก
383,ซอสพริก
384,ใบมะขามอ่อน
385,ผลตาลสุก
386,พริกไทยอ่อน
387,เก็ดเผาะ
388,ผักกวางตุ้ง
389,ปลาโจก
390,กล้วยน้ำหว้า
391,พริกหยวกสด
392,เนื้อปลาเก๋า
393,เนื้อส่วนขาหมู
394,ใบผักกาดหอม
395,เห็ดหลินจือ
396,กุยช่ายขาว
397,คืนฉ่าย
398,เนื้อปลา
399,กุ่ยฉ่ายขาว
400,ยอดผักหวานป่าอ่อน
401,มะระจีน
402,พริกแห้งทอด
403,ปราร้า
404,มะพร้าวอ่อน
405,เนื้อปูม้า
406,ซอสkatakuriko
407,มะพร้าวขูดผอย
408,ไข่ไก่ 
409,น้ำจิ้มปอเปี้ยะทอด
410,วุ้นเส้น
411,ซุปกระดูกไก่
412,ข้าวสวย
413,น่องไก่
414,กระชาย  
415,แป้งทอดกรอบกรอบ
416,น้ำมันสำหรับทอดปลา
417,นมข้นจืด
418,เลือดหมูก้อน
419,น้ำซุปเป็ด
420,แป้งอเนกประสงค์
421,น้ำปลา  
422,ข้าวสวยญี่ปุ่น
423,เหล้าจีน
424,มะนาว 
425,กุ้งแห้ง  
426,ผักสลัด
427,มันกุ้ง
428,เส้นจันทร์
429,น้ำมะนามเปียก
430,ซอสถั่วเหลืง
431,ซีอิ๊วขาว   
432,พริกแห้ง
433,เห็ดหูหนู
434,เนื้อมะพร้าวทึนทึกขูด
435,แป้งสาคู
436,น้ำตาลปี๊ป
437,ดอกขจร
438,ผงปรุงลาบ-น้ำตกสำเร็จรูป  
439,พริกหยวกสีแดงกับสีเขียว
440,น้ำมันพืชสำหรับทอด
441,แผ่นเกี๊ยว
442,ไข่แดงเค็มดิบ
443,ยอดผักคะน้า        
444,ขมิ้นขาว
445,หมู
446,น้ำพริกแกงเผ็ด 
447,ขิงดอง
448,น้ำจิ้มเจ
449,ใบกุยฉ่าย
450,ซอสจิ๊กโฉ่
451,ขาหมู
452,ข้าวญี่ปุ่นหุงสุก
453,กระเทียมเจียว
454,ผักหวาน
455,น้ำหวานสีแดง
456,เนื้อปลาอินทรี
457,ปลาร้าต้มสุก
458,เส้นอูด้ง
459,น้ำเปล่า
460,เต้าหู้
461,พริกทอด
462,ต้นหอม
463,น้ำจิ้มปอเปี๊ยทอด
464,ปู
465,น้ำมันพืชสำหรับผัด
466,น้ำซาวข้าว
467,ปลาสลิด
468,ดอกงิ้วแห้ง
469,พริกแกง
470,น้ำพริกแกงส้ม
471,เส้นบะหมี่อบแห้ง
472,น้ำมันทอด
473,เนื้อปลาทู
474,ข้าวมัน
475,ผิวมะกรูด
476,breadcrumb
477,ถั่วดำ
478,งา
479,เหล้าสาเก
480,ทุเรียน
481,ยีส
482,กระเทียม
483,ใบมะดันอ่อน
484,ใบผักชี
485,พริกแกงคั่วเจ
486,ถั่วงอก
487,ซุปหมู
488,หอยเชลล์
489,ซ๊อสมะเขือเทศ
490,ซอสดำ
491,โชยุ
492,หนวดปลาหมึก
493,งาดำ
494,หัวน้ำปลา
495,น้ำมันหมู
496,สาหร่าย
497,กระเจี๊ยบเขียว
498,น้ำพริกแกงเผ็ด
499,กบ
500,ใบมะกรูด
501,คื่นฉ่าย
502,ฟักทอง
503,เส้นขนมจีน
504,ใบโหระพา
505,ซอสมะเขือเทศ  
506,ข่า อ่อน
507,เส้นบะหมี่
508,ต้นผักชี
509,เครื่องเคียง
510,ข่า  
511,กระดูกหมู
512,ขิงอ่อนละเอียด
513,พริกเหลือง
514,กะทิ
515,น้ำมันถั่วลิสง
516,เนื้อปลาบึก
517,แป้งทอดกรอบ
518,ไส้หมู
519,น้ำใบเตยคั้นสด
520,พริกหนุ่ม
521,น้ำมันรำข้าว
522,ข้าวหอมมะลิ
523,ซอสมันหอย
524,ข้าวโพดอ่อนและบวบ
525,ซอสปรุงรสอาหาร 
526,แหนม 
527,ไตปลา
528,แป้งหมี่
529,หัวกะทิคั้นสด
530,ซีอิ้วชาว
531,หัวมันสัมปะหลัง
532,หมีลวก
533,แอปเปิลเขียว
534,มะเขือเจ้าพระยา
535,น้ำขิง
536,ดอกไม้จีนแห้ง
537,งาขาวคั่ว
538,น้ำมันพืช
539,เกลือ 
540,ผักชีลาว
541,ซีอิ๊วถั่วเหลือง  
542,ปลาทับทิม
543,ต้นหอมเป็นท่อน
544,น้ำกะทิคั้นสด
545,ต้นใบเตย
546,มันฟรั่ง
547,แป้งเค้ก
548,หอมแดงเจียว
549,โปรตีนเกษตร
550,น้ำมันพืช 
551,ถั่วฝักยาว
552,น้ำตาลปีบ
553,แป้งข้าวเหนียว
554,น้ำจิ้มไก่
555,น้ำปูนใส
556,มันฝรั่ง
557,ยี่หร่า
558,คะน้า เป็นชิ้นขนาดพอดีคำ
559,ผักกาดดอง
560,ปลาซิว
561,มะตูมแห้ง
562,เส้นพาสต้า
563,ฟักทองต้ม
564,ซอสซีอิ้วดำ
565,น้ำต้มสุก
566,น้ำมันพืช  
567,น้ำปล่า
568,งาขาว
569,อบเชย
570,พริกชี้หนู
571,ผลฝรั่ง
572,เนื้อเป็ด
573,บอคโคลี่
574,น้ำมัน
575,หน่อไม้ฝรั่ง
576,ซอสโอโคโนมิยากิ
577,โรสแมรี่
578,วาซาบิ
579,แป้งคัสตราด
580,พวงไข่ไก่
581,หอม  
582,เป็ดเชอรี่
583,กระชาย 
584,หมูและเครื่องในหมู
585,ข้าวเหนียวแช่น้ำ
586,ผักกาดหอม
587,กรรเชียงปู
588,ผักแขนง
589,ใบสะเดา
590,ต้นข่า อ่อนเป็นท่อน
591,พริกขี้หนู
592,แป้งเท้ายายม่อม
593,เปลือกลูกมะกรูดขูด
594,น้ำตาล
595,ถั่วลิสง
596,รากผัก
597,หมูสามชั้น
598,ซีอิ๊วขาว
599,ซอสทาริยากิ
600,พริกแกงเผ็ด
601,ผงวุ้น
602,น้ำจิ้มโดยประกอ้วย
603,ข้าวคั่ว
604,กล้วยน้ำว้าสุก
605,น้ำซุป
606,เห็ดเข็มทอง
607,น้ำจิ้มสุกี้
608,ถั่วฝัก
609,ซอสปรุงรสสำหรับหมักไก่
610,ปูอัด
611,ปลาทะเล
612,เส้นโซเม็ง
613,เนื้อลูกท้อ
614,คึ่นช่าย
615,ผักคะน้า
616,น้ำมันพืชสำหรับผัก
617,ผักบ็อคโคลี่
618,กระหล่ำปี
619,ผลแคนตาลูป
620,ข้าวเหนียวเคี้ยวงู
621,เห็ดฟาง
622,ถั่วเขียวผ่าสีซีก
623,น้ำพริกแกงป่า
624,เนื้อปลาหั้นพอคำ
625,ซุปดาชิ
626,มะละกอดิบ
627,ก้านดอกกะหล่ำ
628,หมูสับ
629,เนื้อปลาซาบะ
630,เนื้อขนุนดิบ
631,กุ้งแห้ง
632,ใบชะพลู   
633,น้ำมันงา
634,บวบ
635,นม  
636,ดอกคำฝอยแห้ง
637,พริกแกงเขียวหวาน
638,แคบหมู
639,ใบกระวาน
640,เนื้อขมิ้น
641,ซอสปรุงรส
642,พุทรา
643,น้ำมะกรูด
644,ไข่มดแดง
645,น้ำซุปไก่ประมาณ
646,มะเขือเทศราชินี
647,ไข่เยี่ยวม้า
648,เหล้าขาว
649,เห็ดหูหนูแห้ง
650,อโวคาโด
651,ผลองุ่นม่วง
652,มะเขือพวง
653,ไข่ไก่  
654,มะม่วงสุก
655,งาคั่ว
656,ถั่วเขียว
657,ซอสมะเขือเทศ
658,พุตทราจีน
659,ส้มแขก
660,ไข่เค็ม
661,ใบยี่หร่า
662,ดอกกระเจี๊ยบ
663,เห็ดโคน
664,เม็ดบัว
665,หมูกรอบ 
666,ใบมิ้น
667,ใบสะระแหน่
668,ซอสหอยนางรม
669,ซอสพริกสำหรับทานกับไข่เจียว
670,น้ำปลาร้า
671,ชะอมเด็ดยอด
672,น้ำตาลปัี๊บ
673,กระท้อนเปรี้ยวสับ
674,น้ำสับปะรด
675,ซอส
676,ใบกุยช่ายขาว
677,เมล่อน
678,ปลานิล
679,น้ำแดง
680,ทับทิม
681,ลูกผักชี
682,หมูกรอบเจ
683,น่ำซุป
684,ปีกไก่
685,มะละกอ
686,เส้นผัดไทย
687,มะเขือเปราะ
688,ไม้จิ้มฟัน
689,หอยหวาน
690,ต้นอ่อนทานตะวัน
691,ขมิ้น
692,นำมันพืช
693,ปลาซาบะ
694,พริกแห้งป่น
695,ถั่วเหลือง
696,ซี่โครงหมูอ่อน
697,ซอสมิริน
698,หัวครอท
699,สาเก
700,ข่า 
701,น้ำตาลปิ๊ป
702,น้ำตาลกรวด
703,พริกแกงส้ม
704,ซอสมะเขือเทศ 
705,ผักชีฝรั่ง
706,หอมหัวใหญ่
707,พริกชี้ฟ้าแดง
708,น้ำส้มสายชู
709,แผ่นปอเปี๊ยะ
710,น้ำพริกน้ำปลา
711,เต้าซี่
712,น้ำมันปาล์ม
713,ต้นหอมท่อนยาว
714,เผือก
715,น้ำลอยดอกมะลิ
716,ข้าวสารเก่า
717,หมู 
718,พริกไทยแห้ง
719,ซอสพริก 
720,ข้าวเหนียว
721,พริกแกงมัสมั่น
722,ผักหวานป่า
723,น้ำกะทิ
724,หอยหลอด
725,เนื้อวัวส่วนติดมันและติดเอ็น
726,เส้นก๋วยจั๊บ
727,ต้นกระเทียม
728,มะแขว่น
729,แห้ว
730,ใบเตย
731,เส้นหมี่
732,ผักขึ้นฉ่าน
733,น้ำโซดาแช่เย็น
734,มะนาว
735,น้ำตาลปี๊บ
736,ใบกะเพรา
737,เนื้อปลาทูน่ากระป๋อง
738,ซีอิ๊วขาว 
739,น้ำ
740,น้ำ 
741,หมูบะช่อ
742,ม่ามาต้มยำ
743,น้ำตาลปีี๊บ
744,เนื้อมะพร้าวขูด
745,หน่อไม้ดอง
746,เส้นกลาง
747,หอยขม
748,หน่อไม้
749,ปูม้า
750,รากผักชี
751,เบคอน
752,ต้นคื่นฉ่าย
753,น้ำตาลแดง
754,มะพร้าว
755,พริกไทยเม็ด
756,พวงนมหมู
757,นํ้าตาล
758,น้ำพริกแกงเขียวหวานเจ
759,หม้อต้มสำหรับนึ่ง
760,ปลากระป๋อง
761,ใบโพระพา
762,ตูน
763,ปลาอินทรีย์
764,เนื้อมะม่วงสุก
765,น้ำตาลอ้อย
766,ซอสน้้ำมันหอย
767,เม็ดสาคู
768,เกลือ
769,น้ำซุปกระดูกหมู
770,ขิงอ่อน
771,น้ำซุปปลาแห้งญี่ปุ่น
772,น้ำส้มคั้น
773,คื้นฉ่าย
774,เห็ดหอม
775,ผักบุ้ง
776,ผักกระเฉด
777,น้ำมันสำหรับทอดและผัด
778,หมูยอ
779,เครื่องแกงเผ็ดเจ
780,ซอสถั่วเปลือง
781,ตะไคร้
782,ไข่ไก่
783,กุ้ง
784,ระกำ
785,ใบเหลียงอ่อน
786,เก๊าลัดคั่ว
787,ซีอิ๊วขาว  
788,แป๊ะก๋วย
789,เครื่องเทศ
790,ผักสด
791,ลูกกระวาน
792,ถั่วลันเตา
793,ขิงแก่
794,น้ำจิ้มทาริยากิ
795,น้ำมันสำหรับทอด
796,สีผสมอาหาร
797,ฟักเขียวอ่อน
798,ตับหมู
799,หอยแมลงภู่่
800,ซอสฮอยซิน
801,ใบยอ
